iter	Passed	Remaining
0	259	258758
1	260	130234
2	264	88061
3	266	66387
4	269	53577
5	271	44920
6	272	38680
7	274	34000
8	278	30622
9	279	27712
10	281	25312
11	283	23305
12	284	21605
13	293	20693
14	295	19432
15	297	18293
16	300	17353
17	303	16574
18	307	15891
19	310	15219
20	312	14569
21	315	14018
22	317	13469
23	318	12959
24	324	12648
25	326	12243
26	328	11833
27	329	11450
28	331	11095
29	332	10765
30	334	10453
31	341	10319
32	342	10044
33	344	9784
34	345	9536
35	347	9301
36	348	9079
37	350	8881
38	355	8757
39	357	8574
40	358	8391
41	360	8223
42	362	8057
43	363	7897
44	364	7744
45	366	7598
46	369	7494
47	371	7368
48	373	7239
49	374	7114
50	411	7662
51	413	7533
52	415	7419
53	416	7300
54	418	7186
55	424	7151
56	425	7042
57	427	6941
58	428	6839
59	430	6740
60	431	6645
61	433	6553
62	434	6463
63	439	6433
64	441	6349
65	442	6267
66	515	7172
67	516	7080
68	521	7033
69	522	6945
70	631	8256
71	636	8209
72	639	8115
73	640	8016
74	642	7921
75	643	7827
76	645	7736
77	646	7647
78	648	7562
79	650	7484
80	652	7403
81	654	7322
82	654	7233
83	656	7156
84	657	7080
85	659	7005
86	660	6932
87	664	6884
88	666	6826
89	693	7008
90	694	6940
91	696	6872
92	701	6843
93	704	6788
94	706	6726
95	707	6665
96	709	6603
97	710	6541
98	712	6480
99	713	6425
100	716	6380
101	718	6323
102	719	6267
103	721	6213
104	722	6159
105	724	6106
106	725	6055
107	726	6004
108	791	6471
109	793	6422
110	795	6374
111	797	6324
112	799	6272
113	804	6255
114	806	6206
115	808	6157
116	809	6106
117	810	6059
118	812	6012
119	813	5965
120	815	5920
121	816	5872
122	819	5842
123	821	5802
124	822	5759
125	824	5718
126	825	5674
127	826	5633
128	828	5593
129	829	5553
130	831	5514
131	856	5632
132	860	5606
133	861	5568
134	863	5530
135	864	5491
136	870	5483
137	872	5447
138	873	5411
139	875	5375
140	876	5340
141	877	5301
142	878	5267
143	880	5233
144	881	5199
145	883	5166
146	889	5160
147	891	5129
148	892	5098
149	894	5066
150	895	5034
151	896	5004
152	898	4973
153	998	5485
154	1000	5451
155	1001	5419
156	1003	5389
157	1006	5361
158	1007	5329
159	1013	5322
160	1014	5287
161	1016	5257
162	1017	5226
163	1019	5196
164	1020	5166
165	1022	5138
166	1024	5112
167	1028	5092
168	1030	5065
169	1032	5043
170	1034	5016
171	1036	4988
172	1071	5122
173	1073	5093
174	1074	5065
175	1075	5037
176	1077	5009
177	1083	5003
178	1085	4976
179	1086	4949
180	1087	4922
181	1089	4895
182	1090	4869
183	1092	4842
184	1093	4816
185	1099	4810
186	1100	4786
187	1102	4761
188	1104	4737
189	1105	4713
190	1106	4688
191	1108	4664
192	1109	4640
193	1161	4826
194	1163	4801
195	1164	4777
196	1169	4767
197	1171	4745
198	1173	4724
199	1179	4717
200	1180	4693
201	1182	4670
202	1187	4662
203	1211	4728
204	1213	4706
205	1214	4682
206	1216	4659
207	1217	4636
208	1223	4628
209	1224	4606
210	1226	4584
211	1227	4563
212	1229	4541
213	1230	4520
214	1232	4498
215	1233	4477
216	1303	4703
217	1304	4680
218	1306	4658
219	1319	4676
220	1320	4654
221	1321	4632
222	1323	4611
223	1329	4604
224	1331	4585
225	1332	4564
226	1334	4543
227	1335	4522
228	1336	4501
229	1338	4480
230	1342	4467
231	1343	4448
232	1345	4428
233	1346	4408
234	1348	4388
235	1349	4369
236	1351	4350
237	1352	4331
238	1354	4312
239	1361	4311
240	1363	4295
241	1365	4276
242	1366	4257
243	1368	4239
244	1369	4220
245	1371	4202
246	1376	4196
247	1379	4182
248	1381	4166
249	1383	4149
250	1384	4132
251	1386	4115
252	1392	4110
253	1394	4096
254	1396	4080
255	1398	4064
256	1400	4048
257	1403	4035
258	1404	4018
259	1406	4002
260	1407	3985
261	1412	3979
262	1416	3968
263	1417	3952
264	1419	3936
265	1422	3924
266	1423	3908
267	1429	3905
268	1431	3890
269	1433	3875
270	1435	3860
271	1436	3845
272	1438	3831
273	1440	3816
274	1470	3875
275	1471	3860
276	1473	3844
277	1474	3829
278	1475	3813
279	1484	3817
280	1486	3802
281	1487	3787
282	1488	3772
283	1490	3757
284	1491	3742
285	1492	3727
286	1497	3721
287	1499	3707
288	1500	3692
289	1502	3677
290	1504	3666
291	1506	3652
292	1507	3637
293	1509	3623
294	1513	3616
295	1518	3610
296	1606	3802
297	1607	3787
298	1609	3772
299	1611	3761
300	1614	3748
301	1622	3750
302	1624	3737
303	1626	3724
304	1629	3713
305	1631	3699
306	1636	3694
307	1638	3681
308	1640	3669
309	1642	3655
310	1643	3641
311	1644	3627
312	1646	3613
313	1647	3599
314	1652	3594
315	1678	3633
316	1680	3619
317	1681	3606
318	1683	3593
319	1688	3588
320	1690	3574
321	1691	3561
322	1692	3548
323	1694	3534
324	1695	3521
325	1696	3507
326	1698	3494
327	1699	3481
328	1704	3476
329	1706	3463
330	1707	3450
331	1708	3438
332	1710	3426
333	1712	3414
334	1713	3401
335	1715	3389
336	1732	3407
337	1733	3394
338	1739	3391
339	1740	3379
340	1742	3367
341	1744	3355
342	1745	3343
343	1747	3332
344	1748	3320
345	1750	3308
346	1757	3306
347	1758	3294
348	1760	3283
